缩写,发音,cased,enable
sb.,somebody,1,
sth.,something,1,
e.g.,for example,0,
i.e.,that is,0,
a.m.,AM,0,
p.m.,PM,0,
No.,number,1,0
etc,et cetera,1,
vs,versus,1,
Mr,mister,1,
Mrs,missus,1,
Dr,doctor,1,
Jr,junior,1,
Sr,senior,1,
Co,company,1,
Corp,corporation,1,
oz,ounce,1,
lb,pound,1,
&,and,1,
Jan,January,1,
Feb,February,1,
Mar,March,1,
Apr,April,1,
Jun,June,1,
Jul,July,1,
Aug,August,1,
Sep,September,1,
Oct,October,1,
Nov,November,1,
Dec,December,1,
Mon,Monday,1,
Tue,Tuesday,1,
Wed,Wednesday,1,
Thu,Thursday,1,
Fri,Friday,1,
Sat,Saturday,1,
Sun,Sunday,1,0
hr,hour,1,0
min,minute,1,0
sec,second,1,0
ft,feet,0,0
yd,yard,1,0
kg,kilogram,1,0
km,kilometer,1,0
cm,centimeter,1,0
mm,millimeter,1,0
g,gram,1,0
mg,milligram,1,0
L,liter,1,0
mL,milliliter,1,0
St,street,1,
Ave,avenue,1,
Blvd,boulevard,1,
Rd,road,1,
Apt,apartment,1,
Mt,mount,1,
Ltd,limited,1,
Inc,incorporated,1,
Bros,brothers,1,
Dept,department,1,
Gov,governor,1,
Sen,senator,1,
Rep,representative,1,
Gen,general,1,
Col,colonel,1,
Capt,captain,1,
Lt,lieutenant,1,
Sgt,sergeant,1,
Rev,reverend,1,
Hon,honorable,1,
Prof,professor,1,
Asst,assistant,1,
Assoc,associate,1,
